Seed Name,Price (€)
Vanilla Haze (CBD Seeds) feminized,32.67
Widow (CBD Seeds) feminized,21.0
Yumbolt (CBD Seeds) feminized,21.0
Zen (CBD Seeds) feminized,27.0
Black Russian (Delicious Seeds) feminized,23.0
Cotton Candy (Delicious Seeds) feminized,23.0
Critical Neville Haze 2.0 (Delicious Seeds) feminized,30.5
Critical Sensi Star (Delicious Seeds) feminized,29.5
Critical Super Silver Haze (Delicious Seeds) feminized,31.5
Fruity Chronic Juice (Delicious Seeds) feminized,19.5
Marmalate (Delicious Seeds) feminized,18.5
Northern Light Blue (Delicious Seeds) feminized,17.95
Sugar Black Rose (Delicious Seeds) feminized,24.95
Critical Jack (Silent Seeds) feminized,23.0
Moby Dick (Silent Seeds) feminized,33.0
OG Kush (Silent Seeds) feminized,25.0
Amnesia Haze (Royal Queen Seeds) feminized,27.0
Cheese (Zamnesia Seeds) feminized,18.99
OG Kush (Royal Queen Seeds) feminized,21.5
White Widow (Zamnesia Seeds) feminized,18.99
Pineapple Kush (Royal Queen Seeds) feminized,25.0
Amnesia Haze (Zamnesia Seeds) feminized,20.99
Cash Express (Zamnesia Seeds) feminized,18.99
Critical Kush (Barney's Farm) feminized,36.97
Super Silver Haze (Zamnesia Seeds) feminized,20.99
Somango XL (Royal Queen Seeds) feminized,25.0
White Choco Haze (Amsterdam Genetics) feminized,30.0
THC Bunker Buster (Zamnesia Seeds) feminized,20.99
Shining Silver Haze (Royal Queen Seeds) feminized,23.0
Northern Light (Royal Queen Seeds) feminized,21.5
LSD (Barney's Farm) feminized,36.97
ACE Mix (ACE Seeds) feminized,25.0
Nepal Jam (ACE Seeds) feminized,31.0
Orient Express (ACE Seeds) feminized,26.0
Panama (ACE Seeds) feminized,31.0
Apple Fritter (Zamnesia Seeds) feminized,25.99
Afghan Skunk (Advanced Seeds) feminized,16.5
Critical (Advanced Seeds) feminized,17.5
Critical Soma (Advanced Seeds) feminized,27.5
Cereal Milk (Royal Queen Seeds) feminized,32.5
Somango Widow (Advanced Seeds) feminized,27.5
Acapulco Gold (Barney's Farm) feminized,31.68
Amnesia Lemon (Barney's Farm) feminized,31.68
Sundae Driver (Royal Queen Seeds) feminized,32.5
Blueberry Cheese (Barney's Farm) feminized,36.97
Gushers (Royal Queen Seeds) feminized,29.0
G13 Haze (Barney's Farm) feminized,31.68
Laughing Buddha (Barney's Farm) feminized,36.97
Liberty Haze (Barney's Farm) feminized,31.68
Pineapple Chunk (Barney's Farm) feminized,36.97
Tangerine Dream (Barney's Farm) feminized,31.68
Big Buddha Cheese (Big Buddha Seeds) feminized,35.0
Blue Cheese (Big Buddha Seeds) feminized,35.0
Biscotti (Royal Queen Seeds) feminized,30.5
818 Headband (Cali Connection) feminized,80.0
Blackwater (Cali Connection) feminized,80.0
Buddha Tahoe OG (Cali Connection) feminized,80.0
Chem Valley Kush (Cali Connection) feminized,80.0
Deadhead OG (Cali Connection) feminized,80.0
Girl Scout Cookies (Cali Connection) feminized,95.0
LA Affie (Cali Connection) feminized,80.0
Larry OG Kush (Cali Connection) feminized,80.0
Pre 98 Bubba (Cali Connection) feminized,80.0
Purple Chem (Cali Connection) feminized,80.0
Tahoe OG Kush (Cali Connection) feminized,80.0
Amnesia 5 (CBD Seeds) feminized,29.04
Cheese (CBD Seeds) feminized,24.0
Critical (CBD Seeds) feminized,25.0
Kali (CBD Seeds) feminized,24.0
Lavender (CBD Seeds) feminized,29.04
Magma (CBD Seeds) feminized,27.0
Shark (CBD Seeds) feminized,21.0
Vanilla Haze (CBD Seeds) feminized,32.67
Widow (CBD Seeds) feminized,21.0
Yumbolt (CBD Seeds) feminized,21.0
Zen (CBD Seeds) feminized,27.0
Black Russian (Delicious Seeds) feminized,23.0
Cotton Candy (Delicious Seeds) feminized,23.0
Critical Neville Haze 2.0 (Delicious Seeds) feminized,30.5
Critical Sensi Star (Delicious Seeds) feminized,29.5
Critical Super Silver Haze (Delicious Seeds) feminized,31.5
Fruity Chronic Juice (Delicious Seeds) feminized,19.5
Marmalate (Delicious Seeds) feminized,18.5
Northern Light Blue (Delicious Seeds) feminized,17.95
Sugar Black Rose (Delicious Seeds) feminized,24.95
Critical Jack (Silent Seeds) feminized,23.0
Moby Dick (Silent Seeds) feminized,33.0
OG Kush (Silent Seeds) feminized,25.0
Original Amnesia (Silent Seeds) feminized,26.0
White Widow (Silent Seeds) feminized,25.0
Cataract Kush (DNA Genetics) feminized,80.0
Holy Grail Kush (DNA Genetics) feminized,80.0
Kushberry (DNA Genetics) feminized,80.0
Blueberry (Dutch Passion) feminized,34.95
Californian Orange (Dutch Passion) feminized,29.95
CBD Skunk Haze (Dutch Passion) feminized,29.95
Durban Poison (Dutch Passion) feminized,29.95
Euforia (Dutch Passion) feminized,29.95
Frisian Dew (Dutch Passion) feminized,29.95
Hollands Hope (Dutch Passion) feminized,29.95
Master Kush (Dutch Passion) feminized,34.95
Mazar (Dutch Passion) feminized,34.95
Orange Bud (Dutch Passion) feminized,29.95
Pamir Gold (Dutch Passion) feminized,24.95
Passion 1 (Dutch Passion) feminized,29.95
Power Plant (Dutch Passion) feminized,24.95
Purple 1 (Dutch Passion) feminized,24.95
Shaman (Dutch Passion) feminized,24.95
Skunk 11 (Dutch Passion) feminized,24.95
Strawberry Cough (Dutch Passion) feminized,34.95
The Ultimate (Dutch Passion) feminized,29.95
White Widow (Dutch Passion) feminized,34.95
Amnesia Haze (Royal Queen Seeds) feminized,27.0
Cheese (Zamnesia Seeds) feminized,18.99
OG Kush (Royal Queen Seeds) feminized,21.5
White Widow (Zamnesia Seeds) feminized,18.99
Pineapple Kush (Royal Queen Seeds) feminized,25.0
Amnesia Haze (Zamnesia Seeds) feminized,20.99
Cash Express (Zamnesia Seeds) feminized,18.99
Critical Kush (Barney's Farm) feminized,36.97
Super Silver Haze (Zamnesia Seeds) feminized,20.99
Somango XL (Royal Queen Seeds) feminized,25.0
White Choco Haze (Amsterdam Genetics) feminized,30.0
THC Bunker Buster (Zamnesia Seeds) feminized,20.99
Shining Silver Haze (Royal Queen Seeds) feminized,23.0
Northern Light (Royal Queen Seeds) feminized,21.5
LSD (Barney's Farm) feminized,36.97
ACE Mix (ACE Seeds) feminized,25.0
Nepal Jam (ACE Seeds) feminized,31.0
Orient Express (ACE Seeds) feminized,26.0
Panama (ACE Seeds) feminized,31.0
Apple Fritter (Zamnesia Seeds) feminized,25.99
Afghan Skunk (Advanced Seeds) feminized,16.5
Critical (Advanced Seeds) feminized,17.5
Critical Soma (Advanced Seeds) feminized,27.5
Cereal Milk (Royal Queen Seeds) feminized,32.5
Somango Widow (Advanced Seeds) feminized,27.5
Acapulco Gold (Barney's Farm) feminized,31.68
Amnesia Lemon (Barney's Farm) feminized,31.68
Sundae Driver (Royal Queen Seeds) feminized,32.5
Blueberry Cheese (Barney's Farm) feminized,36.97
Gushers (Royal Queen Seeds) feminized,29.0
G13 Haze (Barney's Farm) feminized,31.68
Laughing Buddha (Barney's Farm) feminized,36.97
Liberty Haze (Barney's Farm) feminized,31.68
Pineapple Chunk (Barney's Farm) feminized,36.97
Tangerine Dream (Barney's Farm) feminized,31.68
Big Buddha Cheese (Big Buddha Seeds) feminized,35.0
Blue Cheese (Big Buddha Seeds) feminized,35.0
Biscotti (Royal Queen Seeds) feminized,30.5
818 Headband (Cali Connection) feminized,80.0
Blackwater (Cali Connection) feminized,80.0
Buddha Tahoe OG (Cali Connection) feminized,80.0
Chem Valley Kush (Cali Connection) feminized,80.0
Deadhead OG (Cali Connection) feminized,80.0
Girl Scout Cookies (Cali Connection) feminized,95.0
LA Affie (Cali Connection) feminized,80.0
Larry OG Kush (Cali Connection) feminized,80.0
Pre 98 Bubba (Cali Connection) feminized,80.0
Purple Chem (Cali Connection) feminized,80.0
Tahoe OG Kush (Cali Connection) feminized,80.0
Amnesia 5 (CBD Seeds) feminized,29.04
Cheese (CBD Seeds) feminized,24.0
Critical (CBD Seeds) feminized,25.0
Kali (CBD Seeds) feminized,24.0
Lavender (CBD Seeds) feminized,29.04
Magma (CBD Seeds) feminized,27.0
Shark (CBD Seeds) feminized,21.0
Vanilla Haze (CBD Seeds) feminized,32.67
Widow (CBD Seeds) feminized,21.0
Yumbolt (CBD Seeds) feminized,21.0
Zen (CBD Seeds) feminized,27.0
Black Russian (Delicious Seeds) feminized,23.0
Cotton Candy (Delicious Seeds) feminized,23.0
Critical Neville Haze 2.0 (Delicious Seeds) feminized,30.5
Critical Sensi Star (Delicious Seeds) feminized,29.5
Critical Super Silver Haze (Delicious Seeds) feminized,31.5
Fruity Chronic Juice (Delicious Seeds) feminized,19.5
Marmalate (Delicious Seeds) feminized,18.5
Northern Light Blue (Delicious Seeds) feminized,17.95
Sugar Black Rose (Delicious Seeds) feminized,24.95
Critical Jack (Silent Seeds) feminized,23.0
Moby Dick (Silent Seeds) feminized,33.0
OG Kush (Silent Seeds) feminized,25.0
Original Amnesia (Silent Seeds) feminized,26.0
White Widow (Silent Seeds) feminized,25.0
Cataract Kush (DNA Genetics) feminized,80.0
Holy Grail Kush (DNA Genetics) feminized,80.0
Kushberry (DNA Genetics) feminized,80.0
Blueberry (Dutch Passion) feminized,34.95
Californian Orange (Dutch Passion) feminized,29.95
CBD Skunk Haze (Dutch Passion) feminized,29.95
Durban Poison (Dutch Passion) feminized,29.95
Euforia (Dutch Passion) feminized,29.95
Frisian Dew (Dutch Passion) feminized,29.95
Hollands Hope (Dutch Passion) feminized,29.95
Master Kush (Dutch Passion) feminized,34.95
Mazar (Dutch Passion) feminized,34.95
Orange Bud (Dutch Passion) feminized,29.95
Pamir Gold (Dutch Passion) feminized,24.95
Passion 1 (Dutch Passion) feminized,29.95
Power Plant (Dutch Passion) feminized,24.95
Purple 1 (Dutch Passion) feminized,24.95
Shaman (Dutch Passion) feminized,24.95
Skunk 11 (Dutch Passion) feminized,24.95
Strawberry Cough (Dutch Passion) feminized,34.95
The Ultimate (Dutch Passion) feminized,29.95
White Widow (Dutch Passion) feminized,34.95
High Level (Eva Seeds) feminized,18.0
Jamaican Dream (Eva Seeds) feminized,29.0
Missing In Barcelona (Eva Seeds) feminized,27.0
Monster (Eva Seeds) feminized,18.0
Amnesia Bilbo (Genehtik Seeds) feminized,45.0
Kritikal Bilbo (Genehtik Seeds) feminized,40.0
Kritikal Bilbo x AK-47 (Genehtik Seeds) feminized,40.0
Amnesia (Super Strains) feminized,35.95
Enemy Of The State (Super Strains) feminized,31.5
Afrodite (Kannabia) feminized,25.0
Diesel Glue (Kannabia) feminized,38.0
Big Band (Kannabia) feminized,29.0
Gypsy Kush (Kannabia) feminized,29.0
Big Bull (Kannabia) feminized,29.0
Indica Cream (Kannabia) feminized,29.0
La Blanca (Kannabia) feminized,25.0
La Reina De Africa AKA Kaboom (Kannabia) feminized,29.0
Mataró Blue (Kannabia) feminized,38.0
Skunk+ (Kannabia) feminized,29.0
Kiss (Kannabia) feminized,29.0
Thai Fantasy (Kannabia) feminized,25.0
White Domina (Kannabia) feminized,25.0
1024 (Medical Seeds) feminized,27.0
2046 (Medical Seeds) feminized,30.0
Amnesia Haze (Royal Queen Seeds) feminized,27.0
Cheese (Zamnesia Seeds) feminized,18.99
OG Kush (Royal Queen Seeds) feminized,21.5
White Widow (Zamnesia Seeds) feminized,18.99
Pineapple Kush (Royal Queen Seeds) feminized,25.0
Amnesia Haze (Zamnesia Seeds) feminized,20.99
Cash Express (Zamnesia Seeds) feminized,18.99
Critical Kush (Barney's Farm) feminized,36.97
Super Silver Haze (Zamnesia Seeds) feminized,20.99
Somango XL (Royal Queen Seeds) feminized,25.0
White Choco Haze (Amsterdam Genetics) feminized,30.0
THC Bunker Buster (Zamnesia Seeds) feminized,20.99
Shining Silver Haze (Royal Queen Seeds) feminized,23.0
Northern Light (Royal Queen Seeds) feminized,21.5
LSD (Barney's Farm) feminized,36.97
ACE Mix (ACE Seeds) feminized,25.0
Nepal Jam (ACE Seeds) feminized,31.0
Orient Express (ACE Seeds) feminized,26.0
Panama (ACE Seeds) feminized,31.0
Apple Fritter (Zamnesia Seeds) feminized,25.99
Afghan Skunk (Advanced Seeds) feminized,16.5
Critical (Advanced Seeds) feminized,17.5
Critical Soma (Advanced Seeds) feminized,27.5
Cereal Milk (Royal Queen Seeds) feminized,32.5
Somango Widow (Advanced Seeds) feminized,27.5
Acapulco Gold (Barney's Farm) feminized,31.68
Amnesia Lemon (Barney's Farm) feminized,31.68
Sundae Driver (Royal Queen Seeds) feminized,32.5
Blueberry Cheese (Barney's Farm) feminized,36.97
Gushers (Royal Queen Seeds) feminized,29.0
G13 Haze (Barney's Farm) feminized,31.68
Laughing Buddha (Barney's Farm) feminized,36.97
Liberty Haze (Barney's Farm) feminized,31.68
Pineapple Chunk (Barney's Farm) feminized,36.97
Tangerine Dream (Barney's Farm) feminized,31.68
Big Buddha Cheese (Big Buddha Seeds) feminized,35.0
Blue Cheese (Big Buddha Seeds) feminized,35.0
Biscotti (Royal Queen Seeds) feminized,30.5
818 Headband (Cali Connection) feminized,80.0
Blackwater (Cali Connection) feminized,80.0
Buddha Tahoe OG (Cali Connection) feminized,80.0
Chem Valley Kush (Cali Connection) feminized,80.0
Deadhead OG (Cali Connection) feminized,80.0
Girl Scout Cookies (Cali Connection) feminized,95.0
LA Affie (Cali Connection) feminized,80.0
Larry OG Kush (Cali Connection) feminized,80.0
Pre 98 Bubba (Cali Connection) feminized,80.0
Purple Chem (Cali Connection) feminized,80.0
Tahoe OG Kush (Cali Connection) feminized,80.0
Amnesia 5 (CBD Seeds) feminized,29.04
Cheese (CBD Seeds) feminized,24.0
Critical (CBD Seeds) feminized,25.0
Kali (CBD Seeds) feminized,24.0
Lavender (CBD Seeds) feminized,29.04
Magma (CBD Seeds) feminized,27.0
Shark (CBD Seeds) feminized,21.0
Vanilla Haze (CBD Seeds) feminized,32.67
Widow (CBD Seeds) feminized,21.0
Yumbolt (CBD Seeds) feminized,21.0
Zen (CBD Seeds) feminized,27.0
Black Russian (Delicious Seeds) feminized,23.0
Cotton Candy (Delicious Seeds) feminized,23.0
Critical Neville Haze 2.0 (Delicious Seeds) feminized,30.5
Critical Sensi Star (Delicious Seeds) feminized,29.5
Critical Super Silver Haze (Delicious Seeds) feminized,31.5
Fruity Chronic Juice (Delicious Seeds) feminized,19.5
Marmalate (Delicious Seeds) feminized,18.5
Northern Light Blue (Delicious Seeds) feminized,17.95
Sugar Black Rose (Delicious Seeds) feminized,24.95
Critical Jack (Silent Seeds) feminized,23.0
Moby Dick (Silent Seeds) feminized,33.0
OG Kush (Silent Seeds) feminized,25.0
Original Amnesia (Silent Seeds) feminized,26.0
White Widow (Silent Seeds) feminized,25.0
Cataract Kush (DNA Genetics) feminized,80.0
Holy Grail Kush (DNA Genetics) feminized,80.0
Kushberry (DNA Genetics) feminized,80.0
Blueberry (Dutch Passion) feminized,34.95
Californian Orange (Dutch Passion) feminized,29.95
CBD Skunk Haze (Dutch Passion) feminized,29.95
Durban Poison (Dutch Passion) feminized,29.95
Euforia (Dutch Passion) feminized,29.95
Frisian Dew (Dutch Passion) feminized,29.95
Hollands Hope (Dutch Passion) feminized,29.95
Master Kush (Dutch Passion) feminized,34.95
Mazar (Dutch Passion) feminized,34.95
Orange Bud (Dutch Passion) feminized,29.95
Pamir Gold (Dutch Passion) feminized,24.95
Passion 1 (Dutch Passion) feminized,29.95
Power Plant (Dutch Passion) feminized,24.95
Purple 1 (Dutch Passion) feminized,24.95
Shaman (Dutch Passion) feminized,24.95
Skunk 11 (Dutch Passion) feminized,24.95
Strawberry Cough (Dutch Passion) feminized,34.95
The Ultimate (Dutch Passion) feminized,29.95
White Widow (Dutch Passion) feminized,34.95
High Level (Eva Seeds) feminized,18.0
Jamaican Dream (Eva Seeds) feminized,29.0
Missing In Barcelona (Eva Seeds) feminized,27.0
Monster (Eva Seeds) feminized,18.0
Amnesia Bilbo (Genehtik Seeds) feminized,45.0
Kritikal Bilbo (Genehtik Seeds) feminized,40.0
Kritikal Bilbo x AK-47 (Genehtik Seeds) feminized,40.0
Amnesia (Super Strains) feminized,35.95
Enemy Of The State (Super Strains) feminized,31.5
Afrodite (Kannabia) feminized,25.0
Diesel Glue (Kannabia) feminized,38.0
Big Band (Kannabia) feminized,29.0
Gypsy Kush (Kannabia) feminized,29.0
Big Bull (Kannabia) feminized,29.0
Indica Cream (Kannabia) feminized,29.0
La Blanca (Kannabia) feminized,25.0
La Reina De Africa AKA Kaboom (Kannabia) feminized,29.0
Mataró Blue (Kannabia) feminized,38.0
Skunk+ (Kannabia) feminized,29.0
Kiss (Kannabia) feminized,29.0
Thai Fantasy (Kannabia) feminized,25.0
White Domina (Kannabia) feminized,25.0
1024 (Medical Seeds) feminized,27.0
2046 (Medical Seeds) feminized,30.0
Channel + (Medical Seeds) feminized,24.0
Collection 1 (Medical Seeds) feminized,50.0
Collection 2 (Medical Seeds) feminized,60.0
Collection 4 (Medical Seeds) feminized,50.0
Devil Fruit (Medical Seeds) feminized,21.0
Jack La Mota (Medical Seeds) feminized,29.0
Malakoff (Medical Seeds) feminized,26.0
No Name (Medical Seeds) feminized,24.0
Prozack (Medical Seeds) feminized,26.0
BCN Sour Diesel (Medical Seeds) feminized,34.0
White Widow (Medical Seeds) feminized,23.0
Y Griega (Medical Seeds) feminized,23.0
Big Bud XXL (Ministry of Cannabis) feminized,30.0
Carnival (Ministry of Cannabis) feminized,35.0
Northern Lights MOC (Ministry of Cannabis) feminized,25.0
White Widow (Ministry of Cannabis) feminized,25.0
