Seed Name,Price (€)
AK48 (Nirvana) feminized,25.0
Aurora Indica (Nirvana) feminized,25.0
BlackJack (Nirvana) feminized,30.0
Bubblelicious (Nirvana) feminized,25.0
Hawaii Maui Waui (Nirvana) feminized,30.0
Amnesia Haze (Nirvana) feminized,30.0
Ice (Nirvana) feminized,25.0
Jock Horror (Nirvana) feminized,30.0
Somango Widow (Advanced Seeds) feminized,27.5
Acapulco Gold (Barney's Farm) feminized,31.68
Amnesia Lemon (Barney's Farm) feminized,31.68
Sundae Driver (Royal Queen Seeds) feminized,32.5
Blueberry Cheese (Barney's Farm) feminized,36.97
Gushers (Royal Queen Seeds) feminized,29.0
G13 Haze (Barney's Farm) feminized,31.68
Laughing Buddha (Barney's Farm) feminized,36.97
Liberty Haze (Barney's Farm) feminized,31.68
Pineapple Chunk (Barney's Farm) feminized,36.97
Tangerine Dream (Barney's Farm) feminized,31.68
Big Buddha Cheese (Big Buddha Seeds) feminized,35.0
Blue Cheese (Big Buddha Seeds) feminized,35.0
Biscotti (Royal Queen Seeds) feminized,30.5
818 Headband (Cali Connection) feminized,80.0
Blackwater (Cali Connection) feminized,80.0
Buddha Tahoe OG (Cali Connection) feminized,80.0
Chem Valley Kush (Cali Connection) feminized,80.0
Deadhead OG (Cali Connection) feminized,80.0
Girl Scout Cookies (Cali Connection) feminized,95.0
LA Affie (Cali Connection) feminized,80.0
Larry OG Kush (Cali Connection) feminized,80.0
Pre 98 Bubba (Cali Connection) feminized,80.0
Purple Chem (Cali Connection) feminized,80.0
Tahoe OG Kush (Cali Connection) feminized,80.0
Amnesia 5 (CBD Seeds) feminized,29.04
Cheese (CBD Seeds) feminized,24.0
Critical (CBD Seeds) feminized,25.0
Kali (CBD Seeds) feminized,24.0
Lavender (CBD Seeds) feminized,29.04
Magma (CBD Seeds) feminized,27.0
Shark (CBD Seeds) feminized,21.0
Vanilla Haze (CBD Seeds) feminized,32.67
Widow (CBD Seeds) feminized,21.0
Yumbolt (CBD Seeds) feminized,21.0
Zen (CBD Seeds) feminized,27.0
Black Russian (Delicious Seeds) feminized,23.0
Cotton Candy (Delicious Seeds) feminized,23.0
Critical Neville Haze 2.0 (Delicious Seeds) feminized,30.5
Critical Sensi Star (Delicious Seeds) feminized,29.5
Critical Super Silver Haze (Delicious Seeds) feminized,31.5
Fruity Chronic Juice (Delicious Seeds) feminized,19.5
Marmalate (Delicious Seeds) feminized,18.5
Northern Light Blue (Delicious Seeds) feminized,17.95
Sugar Black Rose (Delicious Seeds) feminized,24.95
Critical Jack (Silent Seeds) feminized,23.0
Moby Dick (Silent Seeds) feminized,33.0
OG Kush (Silent Seeds) feminized,25.0
Original Amnesia (Silent Seeds) feminized,26.0
White Widow (Silent Seeds) feminized,25.0
Cataract Kush (DNA Genetics) feminized,80.0
Holy Grail Kush (DNA Genetics) feminized,80.0
Kushberry (DNA Genetics) feminized,80.0
Blueberry (Dutch Passion) feminized,34.95
Californian Orange (Dutch Passion) feminized,29.95
CBD Skunk Haze (Dutch Passion) feminized,29.95
Durban Poison (Dutch Passion) feminized,29.95
Euforia (Dutch Passion) feminized,29.95
Frisian Dew (Dutch Passion) feminized,29.95
Hollands Hope (Dutch Passion) feminized,29.95
Master Kush (Dutch Passion) feminized,34.95
Mazar (Dutch Passion) feminized,34.95
Orange Bud (Dutch Passion) feminized,29.95
Pamir Gold (Dutch Passion) feminized,24.95
Passion 1 (Dutch Passion) feminized,29.95
Power Plant (Dutch Passion) feminized,24.95
Purple 1 (Dutch Passion) feminized,24.95
Shaman (Dutch Passion) feminized,24.95
Skunk 11 (Dutch Passion) feminized,24.95
Strawberry Cough (Dutch Passion) feminized,34.95
The Ultimate (Dutch Passion) feminized,29.95
White Widow (Dutch Passion) feminized,34.95
High Level (Eva Seeds) feminized,18.0
Jamaican Dream (Eva Seeds) feminized,29.0
